filename,pid,treatment,toluene,ethylbenzene,"1,6-dimethylhepta-1,3,5-triene",propylbenzene,benzaldehyde,β-myrcene,RI 1014,benzyl alcohol,trans-β-ocimene,"1,2,3,4,4a,8a-hexahydronaphthalene",acetophenone,RI 1077,"2,5-dimethyl-1,6-heptadiene",RI 1095,linalool,2-phenylethanol,"(E,Z)-allo-ocimene",RI 1143,"(E,E)-allo-ocimene",pentylbenzene,benzyl acetate,RI 1179,methyl salicylate,RI 1219,RI 1233,benzeneacetic acid,RI 1274,indole,RI 1310,RI 1349,eugenol,heptylbenzene ,benzyl isovalerate,vanillin,trans-isoeugenol,"(E,Z)-2-ethylidene-6-methyl-3,5-heptadienal",RI 1441,cis-isoeugenol,α-farnesene,dibenzyl,RI 1623,RI 1673,RI 1678,RI 1694,menthyl phenylacetate,RI 1739,RI 1742,RI 1751,RI 1758,RI 1768,RI 1851,RI 1884,RI 1895,RI 1915,RI 1955,flower_count,flower_unopened,flower_diameter,hood_height,hood_width,dry_weight
,,RI,770,854,909,959,974,993,1014,1038,1053,1065,1074,1077,1079,1095,1099,1120,1131,1143,1147,1165,1169,1179,1208,1219,1233,1250,1274,1302,1310,1349,1367,1372,1403,1412,1418,1428,1441,1459,1508,1542,1623,1673,1678,1694,1731,1739,1742,1751,1758,1768,1851,1884,1895,1915,1955,,,,,,
Milk0819_02.D,10,damage,2683.613505,1961.217553,999.642792,995.2059165,14182.54549,0,513.1459038,7316.440294,12388.53166,1709.579712,434.0187476,818.0330762,1057.205363,816.4172558,456.0039117,6061.174736,2845.40874,1206.524038,758.8044079,556.7919991,1259.218423,351.9913378,262.6283207,154.2461577,251.35789,1976.388186,865.8146342,720.0112266,1218.449261,142.2194542,1472.731244,109.8171824,284.2771084,127.1172663,763.4787346,596.0344111,245.0656202,2003.586458,448.9301732,1121.501807,337.7207408,554.0913627,182.2381256,1677.858552,525.680323,799.1277503,376.8739518,3663.73117,1797.956184,2428.547817,990.2786092,1133.089473,604.5475982,276.1879109,1859.618635,62,NA,9.224,4.264,2.692,1.1166
Milk0819_03.D,14,damage,1394.341211,1146.368404,828.3876379,408.8729833,15119.87163,207.0293043,563.6762237,5415.774318,12566.29493,920.0003873,342.489198,612.3796689,626.0321524,0,490.1248848,5492.080588,3074.387932,902.7835476,561.3738966,231.6862212,891.4917491,203.2009983,325.1358119,221.0928398,251.6876825,1175.145011,466.8650817,1053.308833,572.2917016,120.8165227,737.9562419,56.42652463,643.3595279,92.29591106,713.6160588,312.9006751,266.1169524,1667.295473,561.6169417,944.6607076,250.5297336,335.2930875,200.0072351,1049.19043,314.8116268,381.3307221,163.1927802,2247.73931,924.0349552,1278.492387,495.1973735,544.9360586,338.3299096,261.8032098,1004.224793,68,NA,9.53,5.174,2.624,1.1782
Milk0819_04.D,16,control,900.5854526,768.7990286,566.5769787,316.4337406,12226.32357,0,328.8966436,3271.556455,9480.068135,771.2947983,0,332.1878122,0,0,0,4676.482214,1863.481823,446.6782277,388.1315979,169.8786048,273.9471815,162.5974936,144.5675242,111.9373581,181.0141949,748.6380278,348.7971175,292.2399188,405.8487732,99.90204112,879.0592484,52.41103046,0,65.45689801,156.3724246,248.0719008,171.735089,700.4136845,287.9480788,762.2805959,92.62905296,183.654967,128.3418885,418.0195697,160.6051537,202.8810688,85.46223816,1019.707667,506.7508681,657.3102246,254.364242,334.6529478,150.5007969,116.1961226,477.4670753,56,NA,6.77,5.058,2.11,1.0947
Milk0819_06.D,19,damage,2109.704904,1113.485432,1064.086943,616.13133,15550.19986,235.528762,471.152754,7115.744033,13733.87632,868.6915927,386.7983999,631.0755267,628.7879502,234.2316918,264.6034773,7285.098057,2023.519507,835.4445322,565.847333,294.2328776,663.3264521,215.4322692,223.9502698,196.5296328,159.1167562,130.1335852,385.0498184,199.8649987,653.5516164,183.2766604,736.1320123,66.60336572,121.1034775,94.22280202,92.4467019,225.5398958,240.762262,396.0017681,224.1652745,948.6115715,181.3793896,238.9806453,243.1654906,702.2225438,235.1463493,279.9428652,210.378881,1218.314625,720.101931,1031.454509,459.7606042,441.0203361,319.0391716,146.1142035,957.1547263,85,NA,9.024,4.866,2.622,1.5118
Milk0819_07.D,21,control,1734.995262,1214.943284,935.1675778,473.9533237,12755.00492,245.8055552,712.9791193,2139.678365,12058.13027,1002.052718,0,581.3294312,0,0,0,2001.420242,1941.048177,711.1129275,553.4679042,288.4931699,309.3892143,307.9468731,69.522152,181.2212119,348.4666425,1435.49221,836.7573403,470.1581858,655.710557,246.4333927,523.9650439,127.537733,0,69.38097618,9.934285034,630.8576125,333.923273,46.91653657,283.5267152,914.1465736,242.6512934,399.6767341,242.4338122,1231.436712,400.6007677,501.6355594,254.3868513,2637.015009,1208.894138,1567.338376,787.2051255,849.2698097,418.3997476,339.3525061,1356.19104,64,NA,7.968,5.364,2.298,1.0562
Milk0819_08.D,23,control,1891.312242,1508.81709,857.6897786,637.4198951,16462.85627,0,602.2228491,3916.753123,16119.63122,2613.784883,619.3023977,893.4861436,0,0,0,3783.837282,2736.49506,962.5222215,755.0175999,310.3014193,771.2675527,239.5551741,214.1426654,167.2165891,374.6866102,2146.621291,923.189414,1540.421304,901.755228,90.05337173,1699.748724,69.91292102,0,129.1819843,452.570764,361.6873851,154.5246894,2192.916349,621.5458732,1097.670712,341.9817851,719.1200264,168.5409941,1524.91312,417.2355403,642.3380184,441.4626218,4228.024173,1934.567929,2458.264794,836.329887,1142.64741,603.7337152,348.3468781,2086.093493,71,NA,8,5.406,2.284,1.7263
Milk0819_09.D,24,damage,1152.063964,777.4445769,704.0550981,348.3195076,12081.10423,123.6447616,368.2528205,4527.079053,8846.668975,787.8452939,287.9841211,410.6666173,0,0,208.4980514,5937.47922,1237.134647,574.1923642,289.2222051,153.3683229,505.8789283,187.7075421,246.8884689,139.0194329,189.1279279,887.5787811,429.8944893,150.8332707,437.7971315,145.1042868,508.5467851,42.86678545,126.6541277,73.51042405,27.20513756,231.5874527,209.7180728,93.30223828,232.657479,713.9047087,93.22161938,157.4250117,170.3017504,474.1562502,137.2383672,164.0050576,85.93436887,918.9997992,453.3568255,563.5516739,275.4796789,312.4802438,169.0137953,103.2187416,539.2619257,46,NA,9.416,4.736,2.884,1.0162
Milk0819_10.D,26,control,1345.81447,1210.417486,743.4200593,511.8703063,11904.67895,180.3914652,441.3423126,2791.702634,10052.86715,1466.53414,0,600.5446066,732.3488402,0,178.0062448,1702.551614,1769.775455,591.7258441,371.3820696,262.4666757,301.1579031,257.1187283,80.40156876,117.6779624,198.2394403,1506.927986,624.4230658,708.0636938,674.476994,108.1256498,1574.461696,92.05005448,0,142.2785028,114.9526125,402.3755375,169.5922463,381.2124261,269.5183171,847.0984963,187.1909845,332.7208641,121.736821,1032.313239,267.4337478,374.8552816,197.7030562,2244.872408,908.1965436,1215.912734,526.7327265,630.9017278,321.8731683,236.0299236,1140.16056,61,1,6.676,5.208,2.164,1.1551
Milk0819_11.D,42,damage,722.4474812,435.0459744,396.0159529,185.0937512,8334.332879,84.18677337,230.5039158,2611.005351,6752.953555,568.6807688,265.973349,256.0785516,0,0,88.95295188,2618.30474,1020.939031,307.5239161,195.5941954,81.73316126,359.3330751,88.26518759,113.1476955,76.49162442,100.9274169,544.3454877,206.6378688,238.1340402,212.9868788,67.36166624,424.853322,22.78118677,71.08459795,32.71639904,93.01054785,87.09023898,103.9452711,246.067209,123.5727894,499.4171956,59.04838539,86.11470028,85.01342339,289.3761183,65.82356463,80.10366773,49.14354043,569.9591742,234.5685532,279.5827276,138.5195759,160.5896449,93.30817127,40.98344146,253.8043492,56,4,7.378,4.622,2.596,0.9286
Milk0819_12.D,43,control,1141.664696,841.438452,724.3270936,437.7434752,12259.4284,158.9367569,321.3265504,3177.385192,10230.92042,871.7892076,58.76037329,564.2244574,580.8845307,231.5705423,111.2414183,3613.252693,2360.847579,508.7628398,398.024147,216.7348608,387.2550784,190.7105552,148.3637878,126.5579469,143.3127433,1058.227877,298.5346302,1221.932856,522.2928593,103.2639168,1762.696388,47.3553092,101.4625417,68.3158809,442.1395585,199.0599634,177.3037249,851.8265138,303.4181528,727.1399027,186.7411109,249.2940678,142.8622738,822.5048496,175.0863161,234.3801774,150.2235065,1709.369469,654.732514,785.1662297,358.8841957,388.054889,212.2094377,126.9729475,686.3203005,94,NA,7.888,5.22,2.254,0.9937
Milk0819_15.D,46,damage,1453.328266,947.390477,762.4363629,319.2291067,13114.01526,214.8207974,509.7790218,5576.14669,11689.7186,1128.444673,578.3000182,606.9333146,807.540463,0,429.1683198,5423.558323,2250.832667,823.8796184,440.1086951,154.2136726,945.4170759,222.9082531,174.826274,133.49,177.5693398,1056.54901,596.43158,455.6168932,409.3529572,112.1772161,1346.762194,63.93214076,147.8280287,111.4382731,407.0849132,375.5923417,190.469486,1005.497856,337.591114,790.6788304,173.8389441,280.7423883,129.7271972,977.7138994,226.3897749,287.5150274,164.980783,2012.741358,815.7875804,969.9028928,448.4160216,512.2395429,269.9404225,202.1266757,910.7155012,63,NA,7.474,4.78,2.748,1.1611
Milk0819_16.D,49,damage,1738.447969,1043.050863,897.4677966,388.9628619,17215.94652,153.9651266,658.0289618,5941.275329,14899.70225,785.4857104,370.938955,776.5882491,658.8213294,457.4007387,336.0443634,6469.131868,3402.658143,1204.828745,556.2920732,203.2824192,906.6215716,380.4256008,275.4563555,188.6178996,317.6590339,973.7288333,610.3605353,644.8306227,572.057401,238.4419888,920.0430661,57.2545446,221.2117875,182.9241093,351.7907773,369.8053361,264.7447342,783.5234639,377.4067085,985.5612415,197.5117422,333.6348036,225.9790604,1106.337063,350.5961219,404.8619074,273.6219325,2558.371209,1091.372506,1292.91614,537.3403252,583.191995,329.4637245,187.6585724,1117.092456,72,NA,9.258,4.972,2.472,1.2329
Milk0819_17.D,50,control,976.2207375,959.2109169,611.6555451,430.8906157,16725.5379,140.2243062,341.730963,3629.666809,13592.66359,1369.350363,0,524.017007,0,0,105.398888,3445.181349,1823.455998,504.316714,379.6194111,221.0616969,468.9496931,173.7545283,83.32639047,98.25336705,155.0695509,1178.807071,382.7474668,914.9641399,468.3310475,72.39704161,3357.370972,55.46114733,114.4366288,116.3882143,749.6122669,264.4593282,143.0861373,2896.784163,397.7095413,925.7610566,167.5351392,232.6648311,111.159623,885.4851698,131.1877159,188.5929856,127.623964,1819.578955,545.9677024,614.5978483,285.0053991,414.1693227,195.9967459,150.7265068,682.6094372,53,NA,7.256,5.416,2.414,1.0562
Milk0819_18.D,51,control,1441.438977,960.8605228,791.3014681,421.0075566,15552.55409,193.0031487,446.1780525,3204.110924,13531.34193,1212.117162,0,614.5528969,536.7400074,0,0,4115.937516,3161.411437,597.512355,415.7408616,213.680556,440.3078552,239.1318904,110.7709497,136.5165995,194.9501896,1412.71561,794.9581764,1035.465871,542.1985927,130.2474229,2683.494465,82.11300831,0,94.5244401,455.451773,348.2988775,221.6842996,953.1862085,350.3550086,1034.740448,184.206374,411.1545171,136.7914736,1323.02425,211.2803393,286.9281476,167.9697866,2724.505977,816.7195179,1041.88428,523.4405327,519.9315686,317.9758641,213.650794,1002.257784,48,NA,7.216,6.634,2.068,1.1483
Milk0819_19.D,52,damage,2539.713967,1829.258164,1196.646514,792.7505968,18912.50807,470.8521445,738.1401231,8990.987244,20203.73489,1733.124543,1027.666355,1203.351936,0,0,688.3389654,7427.085477,3554.631416,1905.487839,980.9554746,590.0044889,2129.215259,394.2137469,334.956271,337.8279295,367.1753599,2809.966334,1396.78855,1249.234137,1326.042164,204.6123313,2034.521432,197.5248898,0,202.7833124,409.8940452,803.9410552,320.9087512,1225.542597,738.4670036,1336.011887,598.032572,901.8572633,291.4624766,2505.845265,817.5463081,929.6867676,669.5445305,5437.584095,2285.413602,2878.851315,1328.696408,1473.968453,757.6167363,370.4562982,2821.302569,118,7,7.518,4.868,2.804,2.097
Milk0819_20.D,53,control,862.8478698,749.5586334,580.2079974,361.8334469,9691.721116,119.1270437,331.7700821,2017.814917,10213.89135,794.8740043,0,404.0435252,417.922673,0,146.3246056,3505.932196,1326.574162,349.8308548,275.3280122,155.6189866,111.6942262,125.4766635,53.24076849,99.1054845,142.5498154,998.1083851,340.3983324,208.8790412,378.1809166,88.11723443,2206.217711,43.02481316,0,51.61959387,83.15657989,185.3948333,103.3735346,263.0168509,163.4215399,664.0828106,128.2479233,157.5221093,127.3575481,525.2370667,131.9736965,157.1608873,129.4006475,1107.152168,396.0402229,533.5547178,248.6665787,289.8906006,203.6306112,127.8255945,538.236132,55,NA,8.098,6.236,2.054,1.175